!----------------------------------------------------------------------
! TRANSPORT PROPERTIES
!----------------------------------------------------------------------
TRANSPORT
! Species   Geom  eps/k     sigma     dipole    polar     Z_rot
TICL3      2     266.800   4.982     0.000     1.642     1.0 
NH3        2     481.000   2.920     1.470     2.103     1.0 
HCL        1     344.700   3.339     1.100     2.515     1.0 
H          0     37.000    2.708     0.000     0.683     1.0 
CL         0     130.800   3.613     0.000     1.937     1.0 
CL2        1     316.000   4.217     0.000     4.325     1.0 
H2         1     59.700    2.827     0.000     0.787     1.0 
END
