!----------------------------------------------------------------------
! TRANSPORT PROPERTIES (Corrected from SQL database fields)
!----------------------------------------------------------------------
TRANSPORT
! Species       Geom   eps/k      sigma      dipole     polar      Z_rot
BBC             2      465.000    5.276      0.000      0.000      1.0
MBC             2      465.000    5.276      0.000      0.000      1.0
C6H6_BBC        2      465.312    5.276      0.000      0.000      1.0
C6H6            2      465.312    5.276      0.000      0.000      1.0
H2              1       59.700    2.827      0.000      0.787      1.0
C2H2            1      231.800    4.033      0.000      3.487      1.0
C7H8            2      512.087    5.574      0.000      0.000      1.0
N2              1       71.400    3.798      0.000      1.710      1.0
END
